day,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
24,0.6112192627283813,0.46918924064007245,0.61809113863067,0.7558637929748366,0.6601363446885877,0.412972763518389,0.6398577071999657,0.9622716141544708,37,0.27749999999999997
25,0.6199291847960933,0.48126980309024675,0.6256603346447416,0.7606129425639097,0.6694942197368178,0.422972763518389,0.6498577071999657,0.9722716141544708,23,0.17249999999999996
26,0.627784669721925,0.49291107130954737,0.6335381410614398,0.764817259053373,0.6787077021490338,0.43297276351838904,0.6598577071999657,0.9822716141544708,32,0.2225
27,0.6354750598880464,0.5037662410280479,0.6413849543194243,0.7696722456465903,0.6877978980112566,0.44297276351838905,0.6698577071999657,0.9922716141544708,33,0.23
28,0.6426001048993987,0.5119469762916042,0.6481394243195822,0.773981918904374,0.69680368121736,0.45297276351838905,0.6798577071999657,1.0,35,0.2625
29,0.6498845733792116,0.5233141410109345,0.6558381819487691,0.7789279354510789,0.7056370145506932,0.46297276351838906,0.6898577071999658,1.0,33,0.24750000000000003
30,0.6572471603312114,0.5311199410357232,0.6622662864910827,0.7819596904648531,0.7144703478840265,0.47297276351838907,0.6998577071999658,1.0,30,0.22499999999999998
31,0.6637531891390097,0.5395517518225328,0.6686976802199298,0.7859484399513635,0.72330368121736,0.4829727635183891,0.7098577071999658,1.0,37,0.27749999999999997
32,0.6701420991146246,0.5473379762422902,0.6759194903723182,0.7890554920262713,0.7320261757398537,0.4929727635183891,0.7198577071999658,1.0,38,0.28500000000000003
33,0.6766714376659039,0.5563091921501989,0.6815156612217559,0.7935234551421609,0.7406900389399343,0.5029727635183892,0.7298577071999658,1.0,35,0.2625
34,0.6835008985754766,0.5665531377161669,0.6883551291687025,0.797130210897245,0.749147551675995,0.5129727635183892,0.7398577071999658,1.0,29,0.2175
35,0.6900422891105183,0.5737507379170381,0.6939649606521336,0.8006281838793052,0.757518032547053,0.5229727635183892,0.7498577071999658,1.0,32,0.2375
36,0.6963042329977382,0.5832355249519263,0.7008362369195416,0.8038079817236959,0.7656886139213128,0.5329727635183892,0.7598577071999658,1.0,35,0.245
37,0.702776881148799,0.5911371371899841,0.7074694331068319,0.8080406099844959,0.7738085113264188,0.5429727635183892,0.7698577071999658,1.0,28,0.21
38,0.7086827749912971,0.5988315693354157,0.7132064516706931,0.8110841717590269,0.7817676871056715,0.5529727635183892,0.7798577071999658,1.0,38,0.26
39,0.7143586349826153,0.6080409473808098,0.7189396649337787,0.8138410929668252,0.789684353772338,0.5629727635183892,0.7898577071999658,1.0,35,0.26
40,0.7201262862824175,0.6163606105141971,0.7256043050680039,0.8170834267031635,0.797518594780462,0.5729727635183892,0.7998577071999659,1.0,32,0.24000000000000005
41,0.7256480167615593,0.6233360692157328,0.732138813475214,0.8198431822844969,0.8053519281137955,0.5829727635183892,0.8098577071999659,1.0,34,0.255
42,0.7307032081461142,0.6308388530033268,0.7374487606758326,0.8229465981380897,0.8131681686546072,0.5929727635183892,0.8198577071999659,1.0,39,0.2924999999999999
43,0.7363063052946576,0.6382084128763659,0.743162340564056,0.8259731412044352,0.8208348353212738,0.6029727635183892,0.8298577071999659,1.0,29,0.2175
44,0.7413621344171764,0.6448291453487196,0.7487195519123024,0.829689703894965,0.8285015019879405,0.6129727635183893,0.8398577071999659,1.0,36,0.26999999999999996
45,0.7463892797945785,0.6513827334194265,0.7541053171062202,0.8334405131044056,0.8358373159975094,0.6229727635183893,0.8498577071999659,1.0,37,0.26
46,0.75093625767016,0.6566903975239036,0.7583022274881758,0.8365834233427853,0.8428912732537304,0.6329727635183893,0.8598577071999659,1.0,41,0.305
47,0.7557558255214973,0.6628701836680272,0.7632621197656546,0.8402970871167145,0.8498628468565653,0.6429727635183893,0.8698577071999659,1.0,35,0.2625
48,0.7604209933268391,0.6692849342903059,0.7674696265304101,0.8430074664764278,0.8567795135232322,0.6529727635183893,0.8798577071999659,1.0,37,0.26749999999999996
49,0.7650952797458593,0.6759506068868222,0.7723869249152255,0.8459903977343657,0.8636809948079979,0.6629727635183893,0.8898577071999659,1.0,33,0.24750000000000003
50,0.7695027760488752,0.6828107244505676,0.7774989562084269,0.8478827084245565,0.870461625136156,0.6729727635183893,0.8998577071999659,1.0,38,0.26749999999999996
51,0.7742734163756306,0.6912437768548024,0.7823988454677477,0.8496428590430091,0.8771468237497833,0.6829727635183893,0.909857707199966,1.0,30,0.215
52,0.7787016049809825,0.6970162010996039,0.7876412401398112,0.8521684718531441,0.8837046850600816,0.6929727635183893,0.919857707199966,1.0,32,0.24000000000000002
53,0.7826413664925277,0.7026724933433186,0.7919175945416205,0.8543652272764367,0.8899800364941698,0.7029727635183893,0.929857707199966,1.0,44,0.29750000000000004
54,0.7863581799603018,0.7066610490727148,0.7950194666256474,0.856639427004808,0.896081378882498,0.7129727635183893,0.939857707199966,1.0,44,0.31
55,0.7908081363660009,0.7118583613501849,0.7988009066111119,0.8597087093292912,0.9020428083642604,0.7229727635183893,0.949857707199966,1.0,27,0.20249999999999999
56,0.7941293161291259,0.7166261633555419,0.8019816958854695,0.8618171741895359,0.9078568053528204,0.7329727635183894,0.959857707199966,1.0,47,0.3375
57,0.7980694848024764,0.7213692028874462,0.8057458949189888,0.8640476823784687,0.9134998648176714,0.7429727635183894,0.969857707199966,1.0,32,0.23999999999999996
58,0.8019976428060753,0.7268729004197988,0.810033859616295,0.8662464369151153,0.9190035763192774,0.7529727635183894,0.979857707199966,1.0,31,0.2325
59,0.8055076944602083,0.7322463483443141,0.8131630206683338,0.8681609708416972,0.9242467070952769,0.7629727635183894,0.989857707199966,1.0,37,0.2775
60,0.8089847247317905,0.7373841586838266,0.8164312057300733,0.8701277314406946,0.9293122346949791,0.7729727635183894,0.9987893631820994,1.0,37,0.26749999999999996
