day,run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
25,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8571993448697461,0.7874324697510001,0.863225093843637,0.9170888031218548,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,26,0.10400000000000002
26,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8638910657810641,0.7989019120303186,0.8690216382609159,0.9195659563497246,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,24,0.096
27,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8702273212212359,0.8082805929042957,0.8767764983522199,0.923611673164966,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.088
28,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8763011125676687,0.8190825025620463,0.8820699753793453,0.9268311573908767,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08000000000000002
29,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8819945368187853,0.8261675805811312,0.8877823611205091,0.930008616393917,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
30,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8875142956895928,0.8348623067226064,0.8934510607041708,0.9334817370046123,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.05600000000000001
31,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8927092404413917,0.8423348132582881,0.898684080644934,0.93576088513241,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,11,0.044
32,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.8974636599839602,0.8494464493122224,0.903405490838134,0.9386074154352727,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
33,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9018425671320761,0.855472132003958,0.9070020535469981,0.9410847291823943,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
34,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9058972210481226,0.8628116284812957,0.9106737406106471,0.9429747284529815,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.08400000000000002
