run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
25,10,16,160,10,30.0,0.05,0.002,90,16008,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.42951715068707186,0.3216495542159917,0.948289517995355,0.9348495255980599,0.948731779770147,0.9599112633347777,0.3216495542159917,0.11542155023173709,0.29706996431588706,0.5701906294278558,0.5187723673082831,0.0,30.92222222222222,2783,0.12368888888888889,0.19999999999999998
26,10,16,160,10,30.0,0.05,0.002,90,16009,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4232366741285231,0.31630974840730863,0.9497696794093218,0.9375947969274451,0.9514695318656574,0.960188369555919,0.31630974840730863,0.10501248705206714,0.3107650098996988,0.5355048968342259,0.5265330052807986,0.0,29.18888888888889,2627,0.11675555555555557,0.16799999999999998
27,10,16,160,10,30.0,0.05,0.002,90,16010,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4066226465314335,0.3087901327139534,0.9403050171704992,0.9238360627516591,0.940177241240501,0.9559189738630836,0.3087901327139534,0.08482891149683187,0.2876096975069785,0.5751703276837158,0.5336823706390657,0.0,29.755555555555556,2678,0.11902222222222222,0.168
28,10,16,160,10,30.0,0.05,0.002,90,16011,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4170081213945318,0.3301336149277579,0.9485865106611511,0.9354808697307626,0.949152840547161,0.9597528423435852,0.3301336149277579,0.13392166590135454,0.3151593732253301,0.5590428703717502,0.5315783892666193,0.0,29.7,2673,0.1188,0.176
29,10,16,160,10,30.0,0.05,0.002,90,16012,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4398871260570753,0.3483926679487133,0.9494638834492687,0.9349441712790768,0.9519126617099798,0.9613472844162384,0.3483926679487133,0.10600208022073086,0.3329417753381302,0.59522108871469,0.5095767573921934,0.0,29.27777777777778,2635,0.11711111111111112,0.18
30,10,16,160,10,30.0,0.05,0.002,90,16013,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41813504856534484,0.33597944435615273,0.9456154126336795,0.9292788691862541,0.9458553987595857,0.9587078069329622,0.33597944435615273,0.10338906075473918,0.316496616991533,0.5475159974515156,0.5274803640683348,0.0,29.41111111111111,2647,0.11764444444444445,0.15200000000000002
31,10,18,180,10,30.0,0.05,0.002,90,18004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4436014458689494,0.33621854240576415,0.9402236824833788,0.9232034204022872,0.9421585901570058,0.9541114819276193,0.33621854240576415,0.12529584870294747,0.3183778408683114,0.5815186628385954,0.49662223661442945,0.0,35.977777777777774,3238,0.1439111111111111,0.196
32,10,18,180,10,30.0,0.05,0.002,90,18005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41425514617252474,0.3230067479629357,0.9310314760715781,0.9101574028712396,0.9320769386970594,0.9501716573194263,0.3230067479629357,0.10460680568455838,0.28644709323604645,0.5765377700073531,0.5167763298990533,0.0,35.477777777777774,3193,0.14191111111111113,0.20000000000000004
33,10,18,180,10,30.0,0.05,0.002,90,18006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.3968909125578727,0.3374338141064066,0.9336463824533521,0.9163401830703924,0.934583594472629,0.9503243525769738,0.3374338141064066,0.14451781572611233,0.3070274412867504,0.5665093329540986,0.5367554698954794,0.0,36.611111111111114,3295,0.14644444444444443,0.21200000000000002
34,10,18,180,10,30.0,0.05,0.002,90,18007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4380688193003357,0.34198339405794337,0.934318031516765,0.9155698442047123,0.9361227915311532,0.9501005566550159,0.34198339405794337,0.14784314708465227,0.33033544004930104,0.5855089865574007,0.49624921221642926,0.0,36.13333333333333,3252,0.14453333333333335,0.18800000000000003
